    exampleTrace1    exampleTrace1    exampleTrace2    exampleTrace2    exampleTrace3    exampleTrace3
          277.755         1156.033          234.682         1127.599          346.773         1178.725
          242.355         1025.988          226.182          978.289          352.773         1021.885
          211.055         1009.670          440.682         1079.259          152.273         1195.455
          246.755         1256.372          330.682          927.159          327.773         1157.384
          187.055         1046.331          204.182          854.869          328.273          970.315
          231.320         1053.735          326.682          805.719          347.773         1104.584
          917.355          203.789          269.682         1138.699          232.273         1197.255
          890.755          196.513          352.682         1054.579          297.773         1265.584
          912.055          138.231          220.682          977.559          229.773         1107.604
          991.755          233.373          240.182         1017.829          257.773          865.185
          744.055          171.051          322.682          997.779          168.773         1077.145
         1005.054          147.211          272.682         1060.279          214.773         1180.205
          203.355         1071.748          373.182          873.709          192.773         1292.284
          212.755         1094.432          184.182         1004.669          257.773         1107.685
          326.755          977.473          194.682         1133.699          293.773         1314.645
          263.355          888.049          255.682          898.659          178.273         1161.814
          374.755         1184.453          193.182         1035.409          273.273         1008.514
          233.055         1088.291          125.682          795.359          212.773         1177.485
          169.755          993.153          194.182          779.769          217.773         1186.284
          272.755          996.733           64.182          859.969          265.273         1242.134
          239.755          963.653          155.182         1018.729          266.273         1345.995
          283.055         1141.291          269.682          901.699          226.773         1154.524
          172.355          821.789          154.182         1129.869          379.773          912.605
          318.055         1116.390          345.682          815.059          194.773         1089.005
          186.055         1194.170          208.182          981.809          213.273         1214.915
          285.755          961.513          248.182         1101.709          207.773         1151.185
          218.755         1263.892          274.182         1041.069          393.773         1057.645
          305.755         1012.112          829.682          244.299          220.773         1303.364
          949.932          189.951          911.682          264.819          207.773         1119.185
          877.055          288.131          873.182          142.209          172.773         1106.584
          911.355          189.629          786.182          189.389          230.646         1165.361
          231.320         1053.735          987.682          231.679          931.773          331.825
          315.755         1062.312         1013.182           90.109          230.646         1165.361
          230.355         1069.668          994.182          212.269          184.273         1194.475
          197.355         1180.589         1033.682           26.739          317.273         1279.854
          311.055          923.671         1043.182          134.409          202.273         1218.955
          242.355         1089.589          892.182          213.549          160.773         1286.764
          241.755         1017.072         1091.682          216.619          184.273         1340.975
          228.755         1107.493          861.182          137.889          258.773         1236.044
          298.055         1193.491          928.682          115.439          160.773         1330.264
          282.755         1115.332          835.182           58.529          316.773          849.425
          230.755         1011.612          836.182          264.389          101.773         1273.524
          187.355         1106.688          934.682          148.599          402.273          973.455
          169.055         1013.250         1028.182          237.009          508.273          927.115
          185.355          840.569          152.182          856.649          233.773         1270.044
          189.055         1147.051          215.682         1247.259          335.773         1091.764
          266.755         1158.572          172.682          843.779          141.273         1093.495
          207.055         1045.531          176.182          937.289          151.273         1481.594
          160.355         1163.468          285.182         1181.529          239.273         1261.774
          210.755         1113.412          179.682          869.299          274.773         1012.804
          275.755          849.613          329.182         1224.369          281.273         1028.895
          237.755         1057.932          238.182         1092.609          187.273         1074.054
          259.755         1236.852          244.682         1002.699          384.773         1282.405
          235.355          800.269          174.682         1008.499          178.773         1252.245
          220.355          993.069          360.182          852.029          348.773         1255.445
          250.055         1146.210          349.682         1021.499          222.273         1204.155
          203.755         1142.993          227.182          837.649          259.773          958.405
          133.055         1160.890          319.682          954.199          340.773          976.565
          144.355         1091.309          183.182         1162.809          261.273         1020.194
           44.755          935.953          239.182         1084.969          651.773          502.025
          275.755          958.913          107.682          832.379          758.773          659.045
          131.055          776.171          257.182          975.449          223.773         1179.945
          257.755          884.433          102.682         1050.079          126.773         1179.524
          197.055         1056.331          116.682         1154.619          392.773         1112.284
          275.355          992.969          110.682          825.959          186.273         1198.695
          228.355         1255.549          153.182          976.509          455.773          922.465
          254.055          999.651          120.682         1020.559          294.273         1389.574
          185.055         1169.011          143.682         1170.339          167.273         1285.854
          155.755         1127.412          118.682          745.339          216.773         1264.925
          171.055         1181.271          130.182          834.729          232.773         1111.185
          311.055          981.371          106.182         1047.589          131.273          969.395
          293.755          870.093          174.682          907.499          159.273         1159.475
          560.055          618.111          175.682          894.359          110.273         1246.834
          242.055         1016.630          284.682          968.599          218.273         1263.715
          287.355          939.989          156.682          780.519          225.273         1434.235
          228.055          865.291          330.182          825.729          151.773          985.525
          182.055          940.431           30.182          761.229          843.273          530.215
          292.755         1056.932          226.182         1076.789          814.773          557.205
          870.755          209.613          301.182          858.789          831.773          220.325
          976.055          223.871           58.682          843.239          845.273          301.435
         1083.354           89.549          174.182         1010.069         1071.273          221.295
         1116.755          141.873           59.682          756.599          809.273          600.975
         1052.755          236.533          187.682         1169.179          230.646         1165.361
          340.355         1061.869          132.182          959.949          131.773         1445.324
          193.355         1101.448           98.682          773.139          212.773         1377.985
           98.355         1157.149          116.682         1236.119          256.773         1102.324
          147.355          996.289          163.682          975.039          263.773         1153.344
          187.755         1227.233           54.682          827.799          327.273         1123.455
          196.355          958.029           78.182          877.009          252.773         1213.384
          390.055         1062.910          150.182         1110.429          262.773          992.485
          261.055          927.371          108.182         1157.309          360.773         1135.764
          175.355         1427.369          178.682         1155.939          332.773         1070.685
          767.010          -20.029          119.682          897.699          293.773         1205.145
          576.355          -21.171          126.682         1260.719          214.773          942.705
          765.355            7.769          210.182         1099.529          184.273         1320.475
          800.055           17.511          168.682         1221.339          156.273         1196.895
          649.355          -10.391           21.682         1114.419          869.773          508.005
          715.355          -32.931          172.182         1145.849          900.273          416.735
          727.355          -55.911           77.682          925.079          230.646         1165.361
          801.055          -53.929          176.682          901.719          186.773         1224.124
          753.055           41.491          168.182          990.409          312.773         1114.985
          643.055          -15.809           75.682          891.359          235.773         1325.764
          759.355          -83.091          177.182          891.149          345.773         1408.364
          862.355          -22.811          155.182          955.229          281.273         1124.895
          592.755           -5.067          136.682         1053.819          125.773          913.665
          561.355          -30.071           41.182          942.189          179.773         1262.604
          554.755          -13.747          157.682          819.379          189.773         1206.205
          928.755          -81.107          211.682          891.319          204.273         1063.675
          628.355          -48.751          230.682         1246.159          224.773         1275.804
          677.355          -45.311          179.182         1144.869          204.273         1249.175
          730.355          -59.731          110.682         1245.459          152.773         1138.384
          726.355           21.829           95.682          973.059          170.773         1308.364
          638.755          -29.907          159.182          939.169          173.773         1273.945
          728.055           -6.009          151.682         1000.719          160.273         1204.834
          728.355           11.249           96.682          935.419          174.773         1317.304
          789.355           71.709          204.182         1122.369          261.273         1371.695
          985.755          -13.487           68.682          834.839          143.773         1149.645
          749.355          -13.391          141.682         1180.619          219.773         1058.005
          563.355           -0.951          197.182          926.349          172.773         1132.584
          631.355           15.529          249.682          875.999          255.273         1073.534
          724.755          -63.947          147.682         1244.779          212.773         1136.485
          515.055           18.111          168.182         1079.409          286.773         1039.124
